College Name and Place,Logo Link
"{'Name': 'Sree Lakshmi Narayana Institute of Medical Sciences', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Sree Lakshmi Narayana Institute of Medical Sciences', 'Location': 'Pondicherry, Puducherry'}",
"{'Name': 'Sabari College of Nursing', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/139547115212.png?h=43&w=43&mode=stretch
"{'Name': 'Sri Chakra Maritime College', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1486549067photo1111.jpg?h=43&w=43&mode=stretch
"{'Name': 'Achariya College of Education', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1423732377achlogo222.png?h=43&w=43&mode=stretch
"{'Name': 'Cooperative College of Education', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1486622491deff0f16ba246cddb227dfa820fe9213CooperativeCollegeofEducationPuducherrylogo.jpg?h=43&w=43&mode=stretch
"{'Name': 'Immaculate College of Education for Women', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1486626922f58e2b48f4cfed1155a68c31491ddf76ImmaculateCollegeofEducationforWomenLogo2222222222.jpg?h=43&w=43&mode=stretch
"{'Name': 'Nehru College of Education', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1611314847Untitled.jpg?h=43&w=43&mode=stretch
"{'Name': 'Pauls Teacher Training Institute - [SPET]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/14866355091428037585samlogo2.jpg?h=43&w=43&mode=stretch
"{'Name': 'Perunthalaivar Kamarajar College of Education - [PKCE]', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/asset/img/placeholders/logo_placeholder_70X70.png?h=43&w=43&mode=stretch
"{'Name': 'Sabari College of Education', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1428391356logo.jpg?h=43&w=43&mode=stretch
"{'Name': 'Senthil College of Education', 'Location': 'Pondicherry, Puducherry'}",https://images.collegedunia.com/public/college_data/images/logos/1428401321senthil education.jpg?h=43&w=43&mode=stretch
