College Name,Place,Logo Link
Sipajhar College,"Darrang, Assam",https://images.collegedunia.com/public/college_data/images/logos/13966979124527.JPG?h=43&w=43&mode=stretch
Sonapur College,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1626326669Screenshot20210715104611.png?h=43&w=43&mode=stretch
Sonari College,"Sibsagar, Assam",https://images.collegedunia.com/public/college_data/images/logos/1426939811jpeg.jpg?h=43&w=43&mode=stretch
Srikishan Sarda College - [SS],"Hailakandi, Assam",https://images.collegedunia.com/public/college_data/images/logos/col4873.jpg?h=43&w=43&mode=stretch
Suren Das College,"Dispur, Assam",https://images.collegedunia.com/public/college_data/images/logos/13974573695009.JPG?h=43&w=43&mode=stretch
Tezpur College,"Tezpur, Assam",https://images.collegedunia.com/public/college_data/images/logos/1427796905jpeg.jpg?h=43&w=43&mode=stretch
Tinsukia College,"Tinsukia, Assam",https://images.collegedunia.com/public/college_data/images/logos/1427802834jpeg.jpg?h=43&w=43&mode=stretch
Tyagbir Hem Baruah College - [THB],"Sonitpur, Assam",https://images.collegedunia.com/public/college_data/images/logos/1427806446jpeg.jpg?h=43&w=43&mode=stretch
Eastern Theological College,"Jorhat, Assam",https://images.collegedunia.com/public/college_data/images/logos/1425982369mabnhhgvvcc.jpg?h=43&w=43&mode=stretch
JD Institute of Fashion Technology,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/16157206661063619022609797325925507596622073736999478n.jpg?h=43&w=43&mode=stretch
Assam Govt Homoeopathic Medical College and Hospital - [AHMCH],"Nagaon, Assam",https://images.collegedunia.com/public/college_data/images/logos/1424421906ashams.jpg?h=43&w=43&mode=stretch
College of Veterinary Science,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1425018684images.jpg?h=43&w=43&mode=stretch
Regional Dental College,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1640245520LogoofRegionalDentalCollegeGuwahati.jpg?h=43&w=43&mode=stretch
Dispur Law College,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1424865115Capture.jpg?h=43&w=43&mode=stretch
JB Law College,"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1422696828logo.jpg?h=43&w=43&mode=stretch
North Lakhimpur Law College,"Lakhimpur, Assam",https://images.collegedunia.com/public/college_data/images/logos/1423552540zoutons-online-coupons.jpg?h=43&w=43&mode=stretch
Gauhati Medical College and Hospital - [GMCH],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1416052198logo1.jpg?h=43&w=43&mode=stretch
National Institute of Pharmaceutical Education And Research - [NIPER],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1487050003niperlogo.jpg?h=43&w=43&mode=stretch
Assam Medical College,"Dibrugarh, Assam",https://images.collegedunia.com/public/college_data/images/logos/1700025846logomain1.png?h=43&w=43&mode=stretch
Jorhat Medical College - [JMC],"Jorhat, Assam",https://images.collegedunia.com/public/college_data/images/logos/col10596.jpg?h=43&w=43&mode=stretch
Silchar Medical College - [SMC],"Silchar, Assam",https://images.collegedunia.com/public/college_data/images/logos/1428388181jpeg.jpg?h=43&w=43&mode=stretch
Army Institute of Nursing - [AIN],"Guwahati, Assam",https://images.collegedunia.com/public/college_data/images/logos/1477301995col11288.jpg?h=43&w=43&mode=stretch
