College Name,Place,Logo Link
Bharati Vidyapeeth Institute of Management Studies & Research - [BVIMSR],"Navi Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1500456080images.jpg?h=43&w=43&mode=stretch
Grant Medical College and Sir J. J. Group of Hospitals,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/col10499.jpg?h=43&w=43&mode=stretch
Durgadevi Saraf Institute of Management Studies - [DSIMS],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/15012442281394173395DurgadeviSarafInstituteofManagementStudies.png?h=43&w=43&mode=stretch
Sinhgad Dental College and Hospital - [SDCH],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1395219494Sinhgad School of Business Studies.JPG?h=43&w=43&mode=stretch
Thakur Institute of Management Studies and Research - [TIMSR],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1611993518timsr.jpg?h=43&w=43&mode=stretch
Seth GS Medical College - [GSMC],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1438588854png.jpg?h=43&w=43&mode=stretch
Central Institute of Fisheries Education - [CIFE],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1415019042images.jpg?h=43&w=43&mode=stretch
Shobhaben Pratapbhai Patel School of Pharmacy & Technology Management - [SPPSPTM],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1506324449Logo.jpg?h=43&w=43&mode=stretch
Bharati Vidyapeeth University,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1474887186b logo.jpg?h=43&w=43&mode=stretch
St Andrew's College of Arts Science and Commerce,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/col4897.jpg?h=43&w=43&mode=stretch
Modern College of Arts Science and Commerce - [MCASC] Shivajinagar,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1419512248logo1.gif?h=43&w=43&mode=stretch
Global Business School and Research Centre - [GBSRC],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1470726404dpu logo.jpg?h=43&w=43&mode=stretch
Symbiosis Institute of Design - [SID],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1498624828sssssssssss.png?h=43&w=43&mode=stretch
Mumbai University - [MU],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1481518208mu_logo.png?h=43&w=43&mode=stretch
Government Dental College & Hospital,"Aurangabad, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1422869881j.png?h=43&w=43&mode=stretch
St. Mira's College for Girls,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/13973034314940.JPG?h=43&w=43&mode=stretch
Sydenham College of Commerce & Economics,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1506666160logoedt.png?h=43&w=43&mode=stretch
Bharati Vidyapeeth New Law College -[NLC],"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1474875592b logo.jpg?h=43&w=43&mode=stretch
Principal K.M. Kundnani College of Pharmacy - [KMKCP],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1600534938Annotation20200919223056s.jpg?h=43&w=43&mode=stretch
Mahatma Gandhi Institute of Medical Sciences - [MGIMS],"Wardha, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/13952993641.png?h=43&w=43&mode=stretch
Bharati Vidyapeeth College of Hotel and Tourism Management Studies  - [BVCHTMS] Navi Mumbai,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1683867959BVCHTMSLogosince1992.png?h=43&w=43&mode=stretch
KPB Hinduja College of Commerce - [KPB],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1416459567kpb-hinduja-college1.jpg?h=43&w=43&mode=stretch
Kelkar Education Trust's V.G. Vaze College of Arts Science and Commerce,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1470746900logo b.png?h=43&w=43&mode=stretch
National Institute of Management - [NIM],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/139807967414453.JPG?h=43&w=43&mode=stretch
Lokmanya Tilak Municipal Medical College-[LTMMC],"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1478948449g.jpg?h=43&w=43&mode=stretch
Rizvi College of Architecture,"Mumbai, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1661240289index.png?h=43&w=43&mode=stretch
Poona College of Pharmacy,"Pune, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1604222746Logo.png?h=43&w=43&mode=stretch
Sandip Institute of Technology and Research Center - [SITRC],"Nashik, Maharashtra",https://images.collegedunia.com/public/college_data/images/logos/1475663565Logo1.png?h=43&w=43&mode=stretch
