,Country,Universities Names,University Place,Tuition Fees
247, Australia,"James Cook University, Townsville","Queensland, Australia",₹7.27L/Yr
248, Australia,"Australian Catholic University, Brisbane","Queensland, Australia",₹16.06L/Yr
249, Australia,"Charles Darwin University, Darwin","Northern Territory , Australia",₹18L/Yr
250, Australia,"Bond University, Gold Coast","Queensland, Australia",₹23.14L/Yr
251, Australia,"Victoria University, Melbourne","Victoria, Australia",₹20.69L/Yr
252, Australia,"Federation University, Ballarat","Victoria, Australia",₹14.31L/Yr
253, Australia,"Central Queensland University, Rockhampton","Queensland, Australia",₹19.7L/Yr
254, Australia,"Southern Cross University, Lismore","New South Wales, Australia",₹6.48L/Yr
255, Australia,"Charles Sturt University, Sydney","New South Wales, Australia",₹18.07L/Yr
256, Australia,"University of New England, Armidale","New South Wales, Australia",₹18.06L/Yr
257, Australia,"University of the Sunshine Coast, Sippy Downs","Queensland, Australia",₹14.15L/Yr
258, Australia,"The University of Notre Dame, Fremantle","Western Australia, Australia",₹35.51L/Yr
259, Australia,"Carnegie Mellon University, Adelaide","South Australia, Australia",₹30.32L/Yr
260, Australia,"Melbourne Business School, Melbourne","Victoria, Australia",₹31.89L/Yr
261, Australia,"Blue Mountains International Hotel Management School, Sydney","New South Wales, Australia",₹30.89L/Yr
262, Australia,"Engineering Institute of Technology, Perth","Western Australia, Australia",₹14.36L/Yr
263, Australia,"James Cook University (Brisbane Campus), Brisbane","Queensland, Australia",₹7.2L/Yr
264, Australia,"Kaplan Business School, Adelaide","South Australia, Australia",₹13.17L/Yr
265, Australia,"S P Jain School of Global Management, Sydney","New South Wales, Australia",₹22.65L/Yr
266, Australia,"Torrens University Australia, Adelaide","South Australia, Australia",₹25.96L/Yr
267, Australia,"Australian Graduate School of Management, Kensington","New South Wales, Australia",₹17.25L/Yr
268, Australia,"Deakin Business School, Melbourne","Victoria, Australia",₹20.34L/Yr
269, Australia,"The University of Sydney Business School, Sydney","New South Wales, Australia",₹27.76L/Yr
270, Australia,"Sydney Business School, University of Wollongong, Wollongong","New South Wales, Australia",₹14.3L/Yr
271, Australia,"Curtin Business School, Perth","Western Australia, Australia",₹17.53L/Yr
272, Australia,"La Trobe Business School, Melbourne","Victoria, Australia",₹21.28L/Yr
273, Australia,"School of Business, University of Western Australia, Perth","Western Australia, Australia",₹23.69L/Yr
274, Australia,"College of Business and Economics, Australian National University, Canberra","Australian Capital Territory , Australia",₹26.21L/Yr
275, Australia,"Macquarie Graduate School of Management, Sydney","New South Wales, Australia",₹24.71L/Yr
276, Australia,"Bond Business School, Gold Coast","Queensland, Australia",₹22.98L/Yr
277, Australia,"Victoria Graduate School of Business, Victoria University, Melbourne","Victoria, Australia",₹20.99L/Yr
278, Australia,"Murdoch Institute of Technology, Perth","Western Australia, Australia",₹17.22L/Yr
279, Australia,"Australia Institute of Business and Technology, Brisbane","Queensland, Australia",₹7.13L/Yr
280, Australia,"Curtin College, Perth","Western Australia, Australia",₹16.56L/Yr
281, Australia,"La Trobe College, Melbourne","Victoria, Australia",₹19.19L/Yr
282, Australia,"Macleay College, Sydney","New South Wales, Australia",₹11.75L/Yr
283, Australia,"Sydney Institute of Business and Technology, Sydney","New South Wales, Australia",₹17.21L/Yr
284, Australia,"UOW College, Wollongong","New South Wales, Australia",₹18.41L/Yr
285, Australia,"Box Hill Institute, Melbourne","Victoria, Australia",₹9.68L/Yr
286, Australia,"Monash College, Melbourne","Victoria, Australia",₹17.53L/Yr
287, Australia,"Asia Pacific International College, Sydney","New South Wales, Australia",₹21.43L/Yr
288, Australia,"TAFE Queensland, South Bank","Queensland, Australia",₹11.04L/Yr
289, Australia,"TAFE NSW, Sydney","New South Wales, Australia",₹8.26L/Yr
290, Australia,"Sae Institute, South Bank","Queensland, Australia",₹11.81L/Yr
